,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
506,"Cullman & Winston Counties PUMA, AL",39419.863193103265,"Maintenance workers, machinery",396120.9523809524,42789.54914546744,4.669792323696163
1713,"Pinellas County (North Central) PUMA, FL",39419.31026707504,Physicians,315943.7491525424,206831.79290917717,4.914501643841855
2227,"Wade Hampton & Berea PUMA, SC",39406.04862335279,Surgeons,426513.84375,282720.32402206364,5.055898425582658
354,"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties PUMA, IA",39395.78406100279,Surgeons,409291.2,282720.32402206364,4.974746220960729
2345,"Winnebago County PUMA, WI",39388.53693131894,Architectural & engineering managers,202619.40677966105,134098.2588754237,5.149610575270598
854,"Green Bay City PUMA, WI",39369.44576308321,Physicians,444749.6015936255,206831.79290917717,4.62804137691884
812,"Golden Crescent Regional Planning Commission (North) & Wilson & Karnes Counties PUMA, TX",39368.98122561446,Aircraft pilots & flight engineers,240759.5294117647,115613.87787785068,5.11823485182917
1212,"Lebanon County PUMA, PA",39352.529947365474,Cost estimators,237303.07843137256,58963.60741807346,5.076409443306341
2059,"St. Clair Shores, Roseville & Eastpointe Area PUMA, MI",39348.19496906933,Sales engineers,202619.41379310345,108780.47602985433,5.094223016239713
1156,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties PUMA, CO",39290.153802044886,Physicians,504522.3278688525,206831.79290917717,4.9379682073196
545,"Dearborn & Dearborn Heights Cities PUMA, MI",39288.50826530807,Pharmacists,177819.1056910569,88632.34688145593,4.968870943989598
386,"Chester City PUMA, PA",39243.44169739937,"Architects, except landscape and naval",243143.27777777775,77911.62260282584,5.0342712047796505
1482,"New Orleans City (Central) PUMA, LA",39242.74398760117,Credit counselors & loan officers,340731.70817120624,67871.33144378143,5.130394972112449
1560,"Oak Ridge (East) & Clinton Cities PUMA, TN",39238.64115139745,Surgeons,445762.69333333336,282720.32402206364,4.7811326733935005
370,"Chatham County (West Central)Savannah City PUMA, GA",39231.68257980056,Surgeons,477168.70588235295,282720.32402206364,5.086841450658524
1202,"Lawrence City PUMA, KS",39224.53820812427,Dentists,444749.5903614458,127707.80053807772,4.782972502409732
1457,"Nampa (Central & East) & Meridian (West) Cities PUMA, ID",39222.33590850635,Surgeons,401186.4214559387,282720.32402206364,4.669591726581547
945,"Highland Springs, East Highland Park & Glen Allen PUMA, VA",39218.03792740263,Computer & information systems managers,199580.10666666663,102527.2721576413,5.118210978250954
514,"Cuyahoga Falls (Southeast), Stow & Tallmadge Cities PUMA, OH",39214.08906334598,"Tailors, dressmakers, & sewers",182357.45318352056,15983.401820326637,4.948813310721775
214,"Bozeman City PUMA, MT",39195.24528847349,"Petroleum, mining & geological engineers, including mining safety engineers",391055.4347826087,121965.87102455912,5.04906163127672
1170,"Lake County (North) PUMA, FL",39174.82719120474,Aircraft pilots & flight engineers,482234.1666666667,115613.87787785068,4.658378668827509
2185,"Tucson City (Far Southeast) & Sahuarita Town PUMA, AZ",39168.8400213143,Natural sciences managers,417395.9615384616,87041.6083510504,4.9534324687243965
2262,"Waterbury Town PUMA, CT",39158.529343788105,Physician assistants,212750.3823529412,92251.10058815022,4.863321729123884
2181,"Trumbull (Outside Warren City) & Mahoning (Outside Youngstown City) Counties PUMA, OH",39137.27952926655,"Morticians, undertakers, & funeral directors",437657.8928571429,45458.09118281886,4.989969551141228
1497,"Niagara County (North & East) PUMA, NY",39123.07840051785,"Lawyers, & judges, magistrates, & other judicial workers",207325.4064516129,124478.50814810928,4.968011744201271
2085,"St. Petersburg City (West) PUMA, FL",39115.8825126323,Physicians,482234.1886792453,206831.79290917717,5.070780158676727
1920,"Santa Ana City (West) PUMA, CA",39109.070773835956,Physicians,273536.1777777778,206831.79290917717,5.033619611033707
1337,"Memphis City (Central Midtown) PUMA, TN",39093.07319025205,"Securities, commodities, & financial services sales agents",445762.6947368421,116457.02855852002,4.68610315463617
1415,"Monroe County (North & West) PUMA, NY",39084.264570230094,Chief executives & legislators,174602.3087790111,141283.83645852594,5.001323507930977
